"","id","home_team","away_team","home_diff","away_diff","gw"
"1","1",1,9,3,4,1
"2","1",18,10,4,3,1
"3","1",5,4,3,4,1
"4","1",6,8,2,3,1
"5","1",7,15,2,3,1
"6","1",14,16,2,2,1
"7","1",19,2,3,2,1
"8","1",3,11,5,2,1
"9","1",13,17,4,3,1
"10","1",12,20,2,4,1
"11","2",16,12,4,3,2
"12","2",2,18,2,3,2
"13","2",4,19,2,3,2
"14","2",9,3,2,3,2
"15","2",10,6,2,4,2
"16","2",14,20,2,2,2
"17","2",15,1,4,2,2
"18","2",8,13,3,2,2
"19","2",17,5,4,4,2
"20","2",11,7,2,5,2
"21","3",2,11,5,3,3
"22","3",6,16,2,3,3
"23","3",8,14,2,2,3
"24","3",13,20,2,3,3
"25","3",18,3,2,3,3
"26","3",12,9,3,4,3
"27","3",5,7,2,4,3
"28","3",19,15,2,2,3
"29","3",10,1,4,4,3
"30","3",17,4,3,4,3
"31","4",11,10,4,5,4
"32","4",1,2,3,4,4
"33","4",3,19,2,2,4
"34","4",7,17,4,3,4
"35","4",9,5,4,3,4
"36","4",14,18,2,2,4
"37","4",15,12,4,2,4
"38","4",4,6,2,3,4
"39","4",16,13,3,3,4
"40","4",20,8,2,3,4
"41","5",2,3,2,3,5
"42","5",6,14,2,3,5
"43","5",8,9,3,2,5
"44","5",10,4,3,4,5
"45","5",13,15,2,3,5
"46","5",18,11,5,3,5
"47","5",19,20,2,2,5
"48","5",17,16,2,4,5
"49","5",5,1,4,4,5
"50","5",12,7,2,4,5
"51","6",20,17,4,3,6
"52","6",4,8,2,3,6
"53","6",7,2,3,3,6
"54","6",11,6,2,5,6
"55","6",14,12,4,2,6
"56","6",15,5,4,2,6
"57","6",16,18,2,3,6
"58","6",9,10,4,3,6
"59","6",3,13,3,2,6
"60","6",1,19,2,4,6
"61","7",8,17,4,2,7
"62","7",2,9,3,3,7
"63","7",12,6,2,4,7
"64","7",15,14,2,2,7
"65","7",19,18,2,2,7
"66","7",20,16,2,3,7
"67","7",5,11,5,4,7
"68","7",1,3,2,4,7
"69","7",7,4,3,3,7
"70","7",13,10,4,3,7
"71","8",10,12,4,4,8
"72","8",4,20,2,3,8
"73","8",6,5,4,3,8
"74","8",11,15,2,5,8
"75","8",17,2,3,4,8
"76","8",16,8,2,3,8
"77","8",18,1,4,3,8
"78","8",3,7,2,2,8
"79","8",14,13,3,2,8
"80","8",9,19,2,3,8
"81","9",20,3,2,3,9
"82","9",5,18,2,4,9
"83","9",8,12,4,2,9
"84","9",11,4,3,5,9
"85","9",13,6,2,3,9
"86","9",15,2,3,2,9
"87","9",16,9,3,3,9
"88","9",14,19,2,2,9
"89","9",7,1,4,3,9
"90","9",17,10,4,4,9
"91","10",12,17,4,4,10
"92","10",1,16,2,4,10
"93","10",6,20,2,3,10
"94","10",10,8,2,4,10
"95","10",18,15,2,3,10
"96","10",19,11,5,2,10
"97","10",2,5,4,3,10
"98","10",3,14,2,2,10
"99","10",9,7,2,3,10
"100","10",4,13,3,3,10
"101","11",15,9,3,2,11
"102","11",8,19,2,2,11
"103","11",13,2,3,3,11
"104","11",14,4,3,2,11
"105","11",16,3,2,3,11
"106","11",20,10,4,3,11
"107","11",17,6,2,4,11
"108","11",11,1,4,5,11
"109","11",5,12,4,4,11
"110","11",7,18,2,3,11
"111","12",1,17,4,4,12
"112","12",2,8,2,3,12
"113","12",4,16,2,3,12
"114","12",6,7,2,3,12
"115","12",9,11,5,3,12
"116","12",10,14,2,4,12
"117","12",19,5,4,2,12
"118","12",12,13,3,4,12
"119","12",18,20,2,3,12
"120","12",3,15,2,2,12
"121","13",20,9,3,3,13
"122","13",6,15,2,3,13
"123","13",12,3,2,4,13
"124","13",13,18,2,3,13
"125","13",17,19,2,4,13
"126","13",16,2,3,3,13
"127","13",10,5,4,4,13
"128","13",14,7,2,2,13
"129","13",4,1,4,3,13
"130","13",8,11,5,2,13
"131","14",3,6,2,2,14
"132","14",9,17,4,3,14
"133","14",18,12,4,3,14
"134","14",19,13,3,2,14
"135","14",1,8,2,4,14
"136","14",2,4,3,3,14
"137","14",5,16,2,4,14
"138","14",7,20,2,3,14
"139","14",11,14,2,5,14
"140","14",15,10,4,2,14
"141","15",5,13,3,4,15
"142","15",3,10,4,2,15
"143","15",7,8,2,3,15
"144","15",9,4,3,3,15
"145","15",15,16,2,2,15
"146","15",18,17,4,3,15
"147","15",19,6,2,2,15
"148","15",1,12,4,4,15
"149","15",2,14,2,3,15
"150","15",11,20,2,5,15
"151","16",20,5,4,3,16
"152","16",4,18,2,3,16
"153","16",6,2,3,3,16
"154","16",8,3,2,2,16
"155","16",17,15,2,4,16
"156","16",16,19,2,3,16
"157","16",13,9,3,3,16
"158","16",14,1,4,2,16
"159","16",10,7,2,4,16
"160","16",12,11,5,4,16
"161","17",4,15,2,3,17
"162","17",6,18,2,3,17
"163","17",8,5,4,2,17
"164","17",13,7,2,3,17
"165","17",14,9,3,2,17
"166","17",16,11,5,3,17
"167","17",10,19,2,4,17
"168","17",12,2,3,4,17
"169","17",17,3,2,4,17
"170","17",20,1,4,3,17
"171","18",9,6,2,3,18
"172","18",1,13,3,4,18
"173","18",3,4,3,2,18
"174","18",5,14,2,4,18
"175","18",18,8,2,3,18
"176","18",15,20,2,2,18
"177","18",11,17,4,5,18
"178","18",19,12,4,2,18
"179","18",2,10,4,3,18
"180","18",7,16,2,3,18
"181","19",1,10,4,4,19
"182","19",7,5,4,3,19
"183","19",3,18,2,2,19
"184","19",11,2,3,5,19
"185","19",14,8,2,2,19
"186","19",15,19,2,2,19
"187","19",16,6,2,3,19
"188","19",20,13,3,3,19
"189","19",4,17,4,3,19
"190","19",9,12,4,3,19
"191","20",17,14,2,4,20
"192","20",2,20,2,3,20
"193","20",5,3,2,4,20
"194","20",8,15,2,2,20
"195","20",12,4,3,4,20
"196","20",18,9,3,3,20
"197","20",19,7,2,2,20
"198","20",10,16,2,4,20
"199","20",13,11,5,3,20
"200","20",6,1,4,3,20
"201","21",2,7,2,3,21
"202","21",5,15,2,4,21
"203","21",8,4,3,2,21
"204","21",10,9,3,4,21
"205","21",13,3,2,3,21
"206","21",18,16,2,3,21
"207","21",12,14,2,4,21
"208","21",6,11,5,3,21
"209","21",19,1,4,2,21
"210","22",3,2,3,2,22
"211","22",4,10,4,3,22
"212","22",9,8,2,3,22
"213","22",15,13,3,2,22
"214","22",7,12,4,3,22
"215","22",14,6,2,2,22
"216","22",16,17,4,3,22
"217","22",20,19,2,3,22
"218","22",11,18,2,5,22
"219","22",1,5,4,4,22
"220","22",17,20,2,4,22
"221","23",5,9,3,4,23
"222","23",6,4,3,3,23
"223","23",8,20,2,2,23
"224","23",13,16,2,3,23
"225","23",18,14,2,3,23
"226","23",19,3,2,2,23
"227","23",17,7,2,4,23
"228","23",2,1,4,3,23
"229","23",10,11,5,4,23
"230","23",12,15,2,4,23
"231","24",3,5,4,2,24
"232","24",1,6,2,4,24
"233","24",4,12,4,3,24
"234","24",7,19,2,3,24
"235","24",9,18,2,3,24
"236","24",15,8,2,2,24
"237","24",20,2,3,3,24
"238","24",11,13,3,5,24
"239","24",14,17,4,2,24
"240","24",16,10,4,3,24
"241","25",16,1,4,3,25
"242","25",20,6,2,3,25
"243","25",8,10,4,2,25
"244","25",5,2,3,4,25
"245","25",7,9,3,3,25
"246","25",13,4,3,3,25
"247","25",14,3,2,2,25
"248","25",11,19,2,5,25
"249","25",17,12,4,4,25
"250","25",15,18,2,2,25
"251","26",4,11,5,3,26
"252","26",2,15,2,3,26
"253","26",3,20,2,2,26
"254","26",9,16,2,3,26
"255","26",12,8,2,4,26
"256","26",19,14,2,2,26
"257","26",1,7,2,4,26
"258","26",6,13,3,3,26
"259","26",10,17,4,4,26
"260","26",18,5,4,3,26
"261","27",17,1,4,4,27
"262","27",7,6,2,3,27
"263","27",15,3,2,2,27
"264","27",16,4,3,3,27
"265","27",20,18,2,3,27
"266","27",11,9,3,5,27
"267","27",8,2,3,2,27
"268","27",13,12,4,3,27
"269","27",14,10,4,2,27
"270","27",5,19,2,4,27
"271","28",9,15,2,3,28
"272","28",2,13,3,3,28
"273","28",3,16,2,2,28
"274","28",4,14,2,3,28
"275","28",10,20,2,4,28
"276","28",19,8,2,2,28
"277","28",18,7,2,3,28
"278","28",6,17,4,3,28
"279","28",12,5,4,4,28
"280","28",1,11,5,4,28
"281","29",4,7,2,3,29
"282","29",9,2,3,3,29
"283","29",14,15,2,2,29
"284","29",17,8,2,4,29
"285","29",16,20,2,3,29
"286","29",18,19,2,3,29
"287","29",10,13,3,4,29
"288","29",3,1,4,2,29
"289","29",11,5,4,5,29
"290","29",6,12,4,3,29
"291","30",12,10,4,4,30
"292","30",7,3,2,3,30
"293","30",8,16,2,2,30
"294","30",13,14,2,3,30
"295","30",19,9,3,2,30
"296","30",20,4,3,3,30
"297","30",5,6,2,4,30
"298","30",1,18,2,4,30
"299","30",2,17,4,3,30
"300","30",15,11,5,2,30
"301","31",2,19,2,3,31
"302","31",8,6,2,2,31
"303","31",15,7,2,2,31
"304","31",10,18,2,4,31
"305","32",6,10,4,3,32
"306","32",3,9,3,2,32
"307","32",12,16,2,4,32
"308","32",13,8,2,3,32
"309","32",18,2,3,3,32
"310","32",19,4,3,2,32
"311","32",20,14,2,3,32
"312","32",7,11,5,3,32
"313","32",1,15,2,4,32
"314","32",5,17,4,4,32
"315","33",7,10,4,3,33
"316","33",2,6,2,3,33
"317","33",3,8,2,2,33
"318","33",9,13,3,3,33
"319","33",15,17,4,2,33
"320","33",18,4,3,3,33
"321","33",19,16,2,2,33
"322","33",11,12,4,5,33
"323","33",1,14,2,4,33
"324","33",5,20,2,4,33
"325","34",14,5,4,2,34
"326","34",4,9,3,3,34
"327","34",6,3,2,3,34
"328","34",8,18,2,2,34
"329","34",16,7,2,3,34
"330","34",10,2,3,4,34
"331","34",17,11,5,4,34
"332","34",13,1,4,3,34
"333","34",12,19,2,4,34
"334","34",20,15,2,3,34
"335","34",3,17,4,2,34
"336","34",2,12,4,3,34
"337","34",4,5,4,3,34
"338","34",9,14,2,3,34
"339","35",19,10,4,2,35
"340","35",18,6,2,3,35
"341","35",1,20,2,4,35
"342","35",15,4,3,2,35
"343","35",11,16,2,5,35
"344","35",7,13,3,3,35
"345","36",10,15,2,4,36
"346","36",4,3,2,3,36
"347","36",6,9,3,3,36
"348","36",8,7,2,2,36
"349","36",13,19,2,3,36
"350","36",14,2,3,2,36
"351","36",16,5,4,3,36
"352","36",20,11,5,3,36
"353","36",12,1,4,4,36
"354","36",17,18,2,4,36
"355","37",3,12,4,2,37
"356","37",15,6,2,2,37
"357","37",2,16,2,3,37
"358","37",9,20,2,3,37
"359","37",18,13,3,3,37
"360","37",19,17,4,2,37
"361","37",7,14,2,3,37
"362","37",11,8,2,5,37
"363","37",1,4,3,4,37
"364","37",5,10,4,4,37
"365","37",16,14,2,3,37
"366","37",5,8,2,4,37
"367","37",9,1,4,3,37
"368","37",11,3,2,5,37
"369","37",17,13,3,4,37
"370","37",20,12,4,3,37
"371","38",4,2,3,3,38
"372","38",6,19,2,3,38
"373","38",8,1,4,2,38
"374","38",10,3,2,4,38
"375","38",12,18,2,4,38
"376","38",13,5,4,3,38
"377","38",14,11,5,2,38
"378","38",17,9,3,4,38
"379","38",16,15,2,3,38
"380","38",20,7,2,3,38
